
Number of tools currently available:  4
yardwork18
plumbing11
plumbing12
concrete5

Amount of money they store made in 35 days:  4144

Completed Rentals: 

Customer ID:  2 | Tools Rented:  ['concrete7'] | Number of days rented:  1 | Total amount :  3
Customer ID:  3 | Tools Rented:  ['woodwork14'] | Number of days rented:  1 | Total amount :  4

Customer ID:  10 | Tools Rented:  ['painting2'] | Number of days rented:  5 | Total amount :  35

Customer ID:  8 | Tools Rented:  ['concrete7'] | Number of days rented:  5 | Total amount :  15

Customer ID:  10 | Tools Rented:  ['plumbing9'] | Number of days rented:  5 | Total amount :  40

Customer ID:  2 | Tools Rented:  ['woodwork14'] | Number of days rented:  1 | Total amount :  4

Customer ID:  3 | Tools Rented:  ['painting1'] | Number of days rented:  1 | Total amount :  7

Customer ID:  5 | Tools Rented:  ['concrete5', 'painting3', 'woodwork13'] | Number of days rented:  7 | Total amount :  98

Customer ID:  4 | Tools Rented:  ['painting2'] | Number of days rented:  2 | Total amount :  14

Customer ID:  1 | Tools Rented:  ['painting4'] | Number of days rented:  2 | Total amount :  14

Customer ID:  3 | Tools Rented:  ['painting3'] | Number of days rented:  1 | Total amount :  7

Customer ID:  2 | Tools Rented:  ['woodwork13'] | Number of days rented:  1 | Total amount :  4

Customer ID:  7 | Tools Rented:  ['yardwork20', 'woodwork15', 'yardwork17'] | Number of days rented:  7 | Total amount :  98

Customer ID:  9 | Tools Rented:  ['woodwork16'] | Number of days rented:  5 | Total amount :  20

Customer ID:  2 | Tools Rented:  ['painting4'] | Number of days rented:  1 | Total amount :  7

Customer ID:  4 | Tools Rented:  ['woodwork13'] | Number of days rented:  1 | Total amount :  4

Customer ID:  1 | Tools Rented:  ['painting3'] | Number of days rented:  1 | Total amount :  7

Customer ID:  10 | Tools Rented:  ['concrete6'] | Number of days rented:  5 | Total amount :  15

Customer ID:  9 | Tools Rented:  ['plumbing12'] | Number of days rented:  5 | Total amount :  40

Customer ID:  8 | Tools Rented:  ['plumbing10'] | Number of days rented:  5 | Total amount :  40

Customer ID:  3 | Tools Rented:  ['painting2'] | Number of days rented:  2 | Total amount :  14

Customer ID:  4 | Tools Rented:  ['woodwork13'] | Number of days rented:  1 | Total amount :  4

Customer ID:  1 | Tools Rented:  ['woodwork16'] | Number of days rented:  1 | Total amount :  4

Customer ID:  2 | Tools Rented:  ['painting4'] | Number of days rented:  1 | Total amount :  7

Customer ID:  6 | Tools Rented:  ['plumbing11', 'concrete8', 'yardwork18'] | Number of days rented:  7 | Total amount :  112

Customer ID:  10 | Tools Rented:  ['yardwork19'] | Number of days rented:  5 | Total amount :  25

Customer ID:  8 | Tools Rented:  ['concrete7'] | Number of days rented:  4 | Total amount :  12

Customer ID:  4 | Tools Rented:  ['painting4'] | Number of days rented:  1 | Total amount :  7

Customer ID:  2 | Tools Rented:  ['woodwork13'] | Number of days rented:  1 | Total amount :  4

Customer ID:  10 | Tools Rented:  ['concrete5'] | Number of days rented:  5 | Total amount :  15

Customer ID:  1 | Tools Rented:  ['plumbing10'] | Number of days rented:  2 | Total amount :  16

Customer ID:  3 | Tools Rented:  ['yardwork18'] | Number of days rented:  2 | Total amount :  10

Customer ID:  9 | Tools Rented:  ['concrete6'] | Number of days rented:  4 | Total amount :  12

Customer ID:  9 | Tools Rented:  ['woodwork16'] | Number of days rented:  3 | Total amount :  12

Customer ID:  8 | Tools Rented:  ['plumbing12'] | Number of days rented:  3 | Total amount :  24

Customer ID:  4 | Tools Rented:  ['painting4'] | Number of days rented:  2 | Total amount :  14

Customer ID:  2 | Tools Rented:  ['yardwork19'] | Number of days rented:  2 | Total amount :  10

Customer ID:  3 | Tools Rented:  ['concrete7'] | Number of days rented:  1 | Total amount :  3

Customer ID:  1 | Tools Rented:  ['plumbing10'] | Number of days rented:  1 | Total amount :  8

Customer ID:  5 | Tools Rented:  ['woodwork14', 'painting1', 'plumbing9'] | Number of days rented:  7 | Total amount :  133

Customer ID:  10 | Tools Rented:  ['painting3'] | Number of days rented:  5 | Total amount :  35

Customer ID:  8 | Tools Rented:  ['concrete5'] | Number of days rented:  3 | Total amount :  9

Customer ID:  3 | Tools Rented:  ['painting1'] | Number of days rented:  1 | Total amount :  7

Customer ID:  4 | Tools Rented:  ['plumbing9'] | Number of days rented:  1 | Total amount :  8

Customer ID:  1 | Tools Rented:  ['plumbing10'] | Number of days rented:  1 | Total amount :  8

Customer ID:  7 | Tools Rented:  ['yardwork17', 'yardwork20', 'woodwork15'] | Number of days rented:  7 | Total amount :  98

Customer ID:  2 | Tools Rented:  ['yardwork19'] | Number of days rented:  2 | Total amount :  10

Customer ID:  1 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5

Customer ID:  10 | Tools Rented:  ['woodwork13'] | Number of days rented:  5 | Total amount :  20

Customer ID:  9 | Tools Rented:  ['woodwork14'] | Number of days rented:  3 | Total amount :  12

Customer ID:  3 | Tools Rented:  ['plumbing10'] | Number of days rented:  2 | Total amount :  16

Customer ID:  4 | Tools Rented:  ['plumbing12'] | Number of days rented:  2 | Total amount :  16

Customer ID:  2 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5

Customer ID:  6 | Tools Rented:  ['concrete8', 'plumbing11', 'painting2'] | Number of days rented:  7 | Total amount :  126

Customer ID:  9 | Tools Rented:  ['yardwork18'] | Number of days rented:  5 | Total amount :  25

Customer ID:  8 | Tools Rented:  ['concrete7'] | Number of days rented:  4 | Total amount :  12

Customer ID:  8 | Tools Rented:  ['painting3'] | Number of days rented:  3 | Total amount :  21

Customer ID:  1 | Tools Rented:  ['painting1'] | Number of days rented:  2 | Total amount :  14

Customer ID:  4 | Tools Rented:  ['yardwork19'] | Number of days rented:  1 | Total amount :  5

Customer ID:  2 | Tools Rented:  ['plumbing12'] | Number of days rented:  2 | Total amount :  16

Customer ID:  3 | Tools Rented:  ['woodwork14'] | Number of days rented:  2 | Total amount :  8

Customer ID:  10 | Tools Rented:  ['plumbing9'] | Number of days rented:  5 | Total amount :  40

Customer ID:  2 | Tools Rented:  ['painting3'] | Number of days rented:  2 | Total amount :  14

Customer ID:  1 | Tools Rented:  ['painting1'] | Number of days rented:  2 | Total amount :  14

Customer ID:  4 | Tools Rented:  ['plumbing10'] | Number of days rented:  2 | Total amount :  16

Customer ID:  3 | Tools Rented:  ['concrete7'] | Number of days rented:  1 | Total amount :  3

Customer ID:  5 | Tools Rented:  ['painting4', 'concrete6', 'woodwork16'] | Number of days rented:  7 | Total amount :  98

Customer ID:  10 | Tools Rented:  ['woodwork13'] | Number of days rented:  5 | Total amount :  20

Customer ID:  9 | Tools Rented:  ['yardwork19'] | Number of days rented:  3 | Total amount :  15

Customer ID:  2 | Tools Rented:  ['woodwork16'] | Number of days rented:  1 | Total amount :  4

Customer ID:  7 | Tools Rented:  ['concrete5', 'woodwork15', 'yardwork20'] | Number of days rented:  7 | Total amount :  84

Customer ID:  9 | Tools Rented:  ['plumbing11'] | Number of days rented:  5 | Total amount :  40

Customer ID:  4 | Tools Rented:  ['concrete6'] | Number of days rented:  2 | Total amount :  6

Customer ID:  1 | Tools Rented:  ['concrete7'] | Number of days rented:  2 | Total amount :  6

Customer ID:  3 | Tools Rented:  ['plumbing10'] | Number of days rented:  2 | Total amount :  16

Customer ID:  2 | Tools Rented:  ['painting4'] | Number of days rented:  1 | Total amount :  7

Customer ID:  8 | Tools Rented:  ['yardwork18'] | Number of days rented:  5 | Total amount :  25

Customer ID:  10 | Tools Rented:  ['plumbing12'] | Number of days rented:  4 | Total amount :  32

Customer ID:  4 | Tools Rented:  ['concrete6'] | Number of days rented:  1 | Total amount :  3

Customer ID:  6 | Tools Rented:  ['concrete8', 'painting2', 'yardwork17'] | Number of days rented:  7 | Total amount :  105

Customer ID:  10 | Tools Rented:  ['woodwork15'] | Number of days rented:  3 | Total amount :  12

Customer ID:  1 | Tools Rented:  ['plumbing10'] | Number of days rented:  2 | Total amount :  16

Customer ID:  2 | Tools Rented:  ['yardwork18'] | Number of days rented:  2 | Total amount :  10

Customer ID:  3 | Tools Rented:  ['concrete7'] | Number of days rented:  2 | Total amount :  6

Customer ID:  4 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5

Customer ID:  9 | Tools Rented:  ['woodwork13'] | Number of days rented:  4 | Total amount :  16

Customer ID:  3 | Tools Rented:  ['concrete7'] | Number of days rented:  1 | Total amount :  3

Customer ID:  4 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5

Customer ID:  1 | Tools Rented:  ['woodwork15'] | Number of days rented:  1 | Total amount :  4

Customer ID:  9 | Tools Rented:  ['concrete5'] | Number of days rented:  4 | Total amount :  12

Customer ID:  8 | Tools Rented:  ['painting4'] | Number of days rented:  4 | Total amount :  28

Customer ID:  2 | Tools Rented:  ['woodwork14'] | Number of days rented:  2 | Total amount :  8

Customer ID:  1 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5

Customer ID:  3 | Tools Rented:  ['concrete7'] | Number of days rented:  1 | Total amount :  3

Customer ID:  5 | Tools Rented:  ['painting3', 'plumbing9', 'painting1'] | Number of days rented:  7 | Total amount :  154

Customer ID:  4 | Tools Rented:  ['concrete5'] | Number of days rented:  2 | Total amount :  6

Customer ID:  7 | Tools Rented:  ['yardwork19', 'woodwork16', 'yardwork20'] | Number of days rented:  7 | Total amount :  98

Customer ID:  10 | Tools Rented:  ['plumbing12'] | Number of days rented:  5 | Total amount :  40

Customer ID:  9 | Tools Rented:  ['plumbing11'] | Number of days rented:  4 | Total amount :  32

Customer ID:  2 | Tools Rented:  ['yardwork17'] | Number of days rented:  2 | Total amount :  10

Customer ID:  1 | Tools Rented:  ['painting1'] | Number of days rented:  2 | Total amount :  14

Customer ID:  3 | Tools Rented:  ['woodwork14'] | Number of days rented:  2 | Total amount :  8

Customer ID:  10 | Tools Rented:  ['yardwork18'] | Number of days rented:  5 | Total amount :  25

Customer ID:  4 | Tools Rented:  ['yardwork20'] | Number of days rented:  2 | Total amount :  10

Customer ID:  1 | Tools Rented:  ['yardwork19'] | Number of days rented:  1 | Total amount :  5

Customer ID:  6 | Tools Rented:  ['concrete6', 'concrete8', 'painting2'] | Number of days rented:  7 | Total amount :  91

Customer ID:  9 | Tools Rented:  ['plumbing10'] | Number of days rented:  5 | Total amount :  40

Customer ID:  8 | Tools Rented:  ['woodwork15'] | Number of days rented:  4 | Total amount :  16

Customer ID:  2 | Tools Rented:  ['concrete5'] | Number of days rented:  2 | Total amount :  6

Customer ID:  3 | Tools Rented:  ['plumbing11'] | Number of days rented:  2 | Total amount :  16

Customer ID:  1 | Tools Rented:  ['painting1'] | Number of days rented:  1 | Total amount :  7

Customer ID:  9 | Tools Rented:  ['yardwork18'] | Number of days rented:  3 | Total amount :  15

------------------------------------------------------------------------

Active Rentals: 

Customer ID:  4 | Tools Rented:  ['concrete6'] | Number of days rented:  2 | Total amount :  6

Customer ID:  5 | Tools Rented:  ['woodwork13', 'painting4', 'concrete7'] | Number of days rented:  7 | Total amount :  98

Customer ID:  10 | Tools Rented:  ['woodwork14'] | Number of days rented:  5 | Total amount :  20

Customer ID:  7 | Tools Rented:  ['painting3', 'plumbing9', 'woodwork16'] | Number of days rented:  7 | Total amount :  133

Customer ID:  6 | Tools Rented:  ['concrete8', 'painting2', 'yardwork19'] | Number of days rented:  7 | Total amount :  105

Customer ID:  3 | Tools Rented:  ['painting1'] | Number of days rented:  2 | Total amount :  14

Customer ID:  9 | Tools Rented:  ['yardwork20'] | Number of days rented:  5 | Total amount :  25

Customer ID:  1 | Tools Rented:  ['woodwork15'] | Number of days rented:  2 | Total amount :  8

Customer ID:  8 | Tools Rented:  ['plumbing10'] | Number of days rented:  5 | Total amount :  40

Customer ID:  2 | Tools Rented:  ['yardwork17'] | Number of days rented:  1 | Total amount :  5
